Date,OpenedToday,ClosedToday,Monitored,OpenPositions,ClosedPositions,CashBalance,PortfolioValue,RealizedPnL,PortfolioReturnPercent,WinRate,LossRate,AverageHoldingDays,SectorExposure,ClosedToday_Detail,OpenedToday_Detail
2026-08-14,0,2,17,15,2,241184.0,500000.28,208.08,0.0,50.0,50.0,1.0,"{""Basic Materials"": 63711.2, ""Industrials"": 103249.79999999999, ""Consumer Cyclical"": 21371.28, ""Financial Services"": 45464.0, ""Healthcare"": 12840.3, ""Consumer Defensive"": 12179.699999999999}","[{""symbol"": ""GPIL.NS"", ""pnl"": -82.31976074218761}, {""symbol"": ""KEC.NS"", ""pnl"": 14.400195312500728}]",[]
2026-08-14,0,3,15,12,5,282184.4,499950.5,-199.5,-0.01,40.0,60.0,1.6,"{""Basic Materials"": 63468.899999999994, ""Industrials"": 87103.6, ""Consumer Cyclical"": 21568.68, ""Financial Services"": 45624.92}","[{""symbol"": ""GODREJCP.NS"", ""pnl"": 46.800000000000296}, {""symbol"": ""ZYDUSLIFE.NS"", ""pnl"": -284.9002685546875}, {""symbol"": ""AFCONS.NS"", ""pnl"": -35.40000000000134}]",[]
2026-08-15,0,0,0,12,5,282184.4,499950.5,-199.5,-0.01,40.0,60.0,1.6,"{""Basic Materials"": 63468.899999999994, ""Industrials"": 87103.6, ""Consumer Cyclical"": 21568.68, ""Financial Services"": 45624.92}",[],[]
2026-08-15,0,0,0,12,5,282184.4,499950.5,-199.5,-0.01,40.0,60.0,1.6,"{""Basic Materials"": 63468.899999999994, ""Industrials"": 87103.6, ""Consumer Cyclical"": 21568.68, ""Financial Services"": 45624.92}",[],[]
2026-08-16,0,0,0,12,5,282184.4,499950.5,-199.5,-0.01,40.0,60.0,1.6,"{""Basic Materials"": 63468.899999999994, ""Industrials"": 87103.6, ""Consumer Cyclical"": 21568.68, ""Financial Services"": 45624.92}",[],[]
2026-08-17,0,7,27,20,12,217055.9,497084.07,-2521.89,-0.58,33.33,66.67,1.58,"{""Basic Materials"": 73579.25, ""Industrials"": 122040.23000000001, ""Financial Services"": 66751.98999999999, ""Consumer Defensive"": 11084.7, ""Healthcare"": 6572.0}","[{""symbol"": ""BERGEPAINT.NS"", ""pnl"": -6.750000000000682}, {""symbol"": ""ELGIEQUIP.NS"", ""pnl"": -176.0}, {""symbol"": ""GLENMARK.NS"", ""pnl"": 15.600195312499636}, {""symbol"": ""360ONE.NS"", ""pnl"": -297.0}, {""symbol"": ""NSLNISP.NS"", ""pnl"": -353.6000000000003}, {""symbol"": ""HUDCO.NS"", ""pnl"": 88.65027465820333}, {""symbol"": ""BELRISE.NS"", ""pnl"": -989.5199487304676}]",[]
2026-08-18,0,3,20,17,15,265642.33,497534.2,-2212.83,-0.49,26.67,73.33,1.93,"{""Basic Materials"": 50158.149999999994, ""Industrials"": 104792.20000000001, ""Financial Services"": 59942.52, ""Consumer Defensive"": 10452.2, ""Healthcare"": 6546.8}","[{""symbol"": ""JSWINFRA.NS"", ""pnl"": -422.79931640625}, {""symbol"": ""AARTIIND.NS"", ""pnl"": -492.800537109375}, {""symbol"": ""HDFCAMC.NS"", ""pnl"": -132.59970703125055}]",[]
2026-08-19,0,5,34,29,20,186728.4,496953.77,-3125.32,-0.61,25.0,75.0,2.3,"{""Basic Materials"": 59764.49999999999, ""Industrials"": 119040.42, ""Financial Services"": 45895.450000000004, ""Consumer Defensive"": 10494.0, ""Healthcare"": 12315.1, ""Consumer Cyclical"": 34361.2, ""Energy"": 28354.700000000004}","[{""symbol"": ""IFCI.NS"", ""pnl"": 77.18974456787136}, {""symbol"": ""SBIN.NS"", ""pnl"": -466.19999999999936}, {""symbol"": ""MRPL.NS"", ""pnl"": -38.4999999999998}, {""symbol"": ""ARE&M.NS"", ""pnl"": -214.20000000000095}, {""symbol"": ""UNIONBANK.NS"", ""pnl"": -100.58017211914148}]",[]
2026-08-20,0,2,29,27,22,202143.6,497069.88,-1948.19,-0.59,22.73,77.27,2.27,"{""Basic Materials"": 60146.350000000006, ""Industrials"": 118964.79000000001, ""Financial Services"": 40225.8, ""Consumer Defensive"": 10469.8, ""Healthcare"": 12222.5, ""Consumer Cyclical"": 34356.84, ""Energy"": 18540.199999999997}","[{""symbol"": ""AEGISLOG.NS"", ""pnl"": -123.89982910156186}, {""symbol"": ""MCX.NS"", ""pnl"": -15.399999999999636}]",[]
2026-08-21,0,4,27,23,26,245074.16,499309.14,-2351.64,-0.14,30.77,69.23,2.46,"{""Basic Materials"": 60958.649999999994, ""Industrials"": 118376.22999999998, ""Financial Services"": 19561.45, ""Consumer Defensive"": 10730.5, ""Healthcare"": 12181.5, ""Energy"": 18369.100000000002, ""Consumer Cyclical"": 14057.550000000001}","[{""symbol"": ""LTF.NS"", ""pnl"": -457.99999999999955}, {""symbol"": ""FIRSTCRY.NS"", ""pnl"": 307.4003540039056}, {""symbol"": ""SHRIRAMFIN.NS"", ""pnl"": 121.80000000000064}, {""symbol"": ""WELSPUNLIV.NS"", ""pnl"": 483.62999999999965}]",[]
